,lenght,time_enc,time_dec
490,37,989675.5218505859,997781.7535400391
491,37,997543.3349609375,996828.0792236328
495,37,997304.9163818359,994920.7305908203
499,37,997304.9163818359,997781.7535400391
500,37,997781.7535400391,997066.4978027344
504,34,997304.9163818359,997304.9163818359
505,78,997304.9163818359,997304.9163818359
514,80,997543.3349609375,997066.4978027344
515,80,997066.4978027344,997781.7535400391
518,80,997781.7535400391,997543.3349609375
519,80,997304.9163818359,997543.3349609375
522,80,997304.9163818359,997781.7535400391
523,80,996828.0792236328,998020.1721191406
524,8,997066.4978027344,996828.0792236328
533,8,997066.4978027344,997304.9163818359
537,8,972986.2213134766,997066.4978027344
543,90,997781.7535400391,997304.9163818359
546,4,997066.4978027344,997543.3349609375
550,71,997304.9163818359,997304.9163818359
560,48,997066.4978027344,997066.4978027344
567,68,997543.3349609375,997304.9163818359
572,21,999450.68359375,996828.0792236328
574,21,997543.3349609375,997543.3349609375
581,21,999212.2650146484,998497.0092773438
583,83,997066.4978027344,902414.3218994141
586,83,997781.7535400391,997543.3349609375
587,83,998258.5906982422,999689.1021728516
588,83,998020.1721191406,995874.4049072266
589,83,995635.986328125,997066.4978027344
592,83,998258.5906982422,997304.9163818359
595,83,996589.6606445312,996828.0792236328
596,83,997543.3349609375,998973.8464355469
599,6,997543.3349609375,997781.7535400391
600,6,998735.4278564453,997066.4978027344
604,75,996351.2420654297,997304.9163818359
609,75,998258.5906982422,997066.4978027344
614,4,996351.2420654297,997304.9163818359
621,71,996828.0792236328,996828.0792236328
627,59,996828.0792236328,997543.3349609375
631,38,997304.9163818359,997543.3349609375
635,38,996828.0792236328,996828.0792236328
644,38,997304.9163818359,997304.9163818359
647,38,997304.9163818359,997304.9163818359
653,83,997066.4978027344,996589.6606445312
657,83,997066.4978027344,997304.9163818359
667,43,997543.3349609375,997304.9163818359
670,28,997543.3349609375,997304.9163818359
674,28,997304.9163818359,997066.4978027344
682,16,997781.7535400391,997066.4978027344
684,16,999927.5207519531,996828.0792236328
690,9,997066.4978027344,997304.9163818359
693,9,998258.5906982422,997304.9163818359
698,33,997304.9163818359,997066.4978027344
699,8,997304.9163818359,997543.3349609375
713,8,997066.4978027344,997543.3349609375
717,8,997304.9163818359,996828.0792236328
721,27,996828.0792236328,997781.7535400391
722,3,996589.6606445312,997304.9163818359
725,3,996828.0792236328,997304.9163818359
734,3,998020.1721191406,998020.1721191406
737,3,997304.9163818359,998020.1721191406
738,3,997304.9163818359,996828.0792236328
741,34,997304.9163818359,997066.4978027344
752,79,997304.9163818359,998020.1721191406
755,49,997066.4978027344,996828.0792236328
761,49,997781.7535400391,998497.0092773438
775,93,997781.7535400391,997066.4978027344
776,93,996589.6606445312,997543.3349609375
793,2,997066.4978027344,996828.0792236328
800,5,995397.5677490234,998735.4278564453
809,72,997066.4978027344,996828.0792236328
812,72,997781.7535400391,998973.8464355469
813,72,997304.9163818359,996828.0792236328
816,63,997543.3349609375,995397.5677490234
823,11,997781.7535400391,997304.9163818359
824,11,997066.4978027344,997304.9163818359
830,77,998020.1721191406,997066.4978027344
842,5,997066.4978027344,997304.9163818359
843,5,997304.9163818359,997304.9163818359
846,5,997304.9163818359,997066.4978027344
856,80,997304.9163818359,997304.9163818359
863,70,996828.0792236328,997304.9163818359
864,70,996828.0792236328,997781.7535400391
867,70,997066.4978027344,997543.3349609375
874,46,998258.5906982422,997066.4978027344
882,27,997781.7535400391,997543.3349609375
886,72,997066.4978027344,998020.1721191406
887,72,996828.0792236328,997304.9163818359
894,53,997066.4978027344,996828.0792236328
903,53,997543.3349609375,998973.8464355469
906,35,997543.3349609375,997543.3349609375
907,49,997543.3349609375,997304.9163818359
911,49,997066.4978027344,996589.6606445312
912,49,997543.3349609375,997543.3349609375
915,61,996828.0792236328,997543.3349609375
929,25,996828.0792236328,998020.1721191406
934,31,997781.7535400391,997543.3349609375
936,31,997066.4978027344,997543.3349609375
941,41,944137.5732421875,997781.7535400391
944,41,997304.9163818359,998020.1721191406
950,78,998020.1721191406,997543.3349609375
960,5,998020.1721191406,997304.9163818359
961,81,998020.1721191406,997304.9163818359
965,81,997304.9163818359,997543.3349609375
969,73,997543.3349609375,997066.4978027344
973,73,996351.2420654297,997066.4978027344
974,73,995635.986328125,997066.4978027344
975,73,996589.6606445312,997781.7535400391
978,73,997304.9163818359,997066.4978027344
981,55,996589.6606445312,997543.3349609375
985,82,997066.4978027344,997304.9163818359
988,95,997304.9163818359,997304.9163818359
1000,81,997304.9163818359,997543.3349609375
1001,81,997304.9163818359,997066.4978027344
1003,81,996828.0792236328,994205.4748535156
1007,81,998258.5906982422,998258.5906982422
1017,46,997781.7535400391,996589.6606445312
1018,46,997304.9163818359,996828.0792236328
1021,68,998020.1721191406,503778.45764160156
1027,24,997304.9163818359,997304.9163818359
1030,36,997304.9163818359,998020.1721191406
1031,36,997304.9163818359,997066.4978027344
1034,36,997066.4978027344,997543.3349609375
1036,36,997781.7535400391,996589.6606445312
1037,85,997304.9163818359,997543.3349609375
1043,85,998497.0092773438,997304.9163818359
1053,81,996589.6606445312,996589.6606445312
1054,81,998258.5906982422,997781.7535400391
1059,81,998020.1721191406,995397.5677490234
1060,60,998020.1721191406,997781.7535400391
1066,60,997066.4978027344,997781.7535400391
1072,15,997304.9163818359,997066.4978027344
1076,26,996589.6606445312,997304.9163818359
1086,88,997066.4978027344,997304.9163818359
1091,88,997304.9163818359,996589.6606445312
1094,88,997304.9163818359,997066.4978027344
1095,56,997304.9163818359,997066.4978027344
1098,98,997304.9163818359,996351.2420654297
1099,98,997543.3349609375,997304.9163818359
1108,66,997066.4978027344,997543.3349609375
1109,19,997543.3349609375,997304.9163818359
1116,27,997304.9163818359,997781.7535400391
1120,27,998020.1721191406,997066.4978027344
1124,36,997304.9163818359,996112.8234863281
1128,94,997304.9163818359,997066.4978027344
1132,94,998497.0092773438,996589.6606445312
1136,95,997304.9163818359,998497.0092773438
1137,95,997543.3349609375,996351.2420654297
1146,26,997543.3349609375,997304.9163818359
1161,61,996351.2420654297,997543.3349609375
1162,61,997304.9163818359,997304.9163818359
1171,14,996828.0792236328,995635.986328125
1175,91,997304.9163818359,997066.4978027344
1182,19,997304.9163818359,997066.4978027344
1183,19,997543.3349609375,998497.0092773438
1184,19,997781.7535400391,997066.4978027344
1192,19,997304.9163818359,997066.4978027344
1195,65,997304.9163818359,998020.1721191406
1196,65,997543.3349609375,996589.6606445312
1200,31,997304.9163818359,997781.7535400391
1205,49,996589.6606445312,997543.3349609375
1211,41,997304.9163818359,996828.0792236328
1215,49,996828.0792236328,995874.4049072266
1233,2,998020.1721191406,997543.3349609375
1236,2,966310.5010986328,997066.4978027344
1239,2,998497.0092773438,998735.4278564453
1248,65,997066.4978027344,996828.0792236328
1252,65,997304.9163818359,997304.9163818359
1258,58,997781.7535400391,996828.0792236328
1261,75,997781.7535400391,997066.4978027344
1268,30,997543.3349609375,998020.1721191406
1269,30,997304.9163818359,996589.6606445312
